2025-05-22 16:04:01,303 - root - INFO - Step: 135 | Loss: 7.71 | Tokens per second: 8147.81 | Training tokens per second (%): 21.95 | MFU (%): 42.46 | TFLOPs: 419.95
2025-05-22 16:04:01,312 - root - INFO - Step: 135 | Loss: 7.71 | Tokens per second: 8147.18 | Training tokens per second (%): 21.95 | MFU (%): 42.46 | TFLOPs: 419.92
2025-05-22 16:04:01,314 - root - INFO - Step: 135 | Loss: 7.71 | Tokens per second: 8145.63 | Training tokens per second (%): 21.95 | MFU (%): 42.45 | TFLOPs: 419.84
2025-05-22 16:04:01,314 - root - INFO - Step: 135 | Loss: 7.71 | Tokens per second: 8137.09 | Training tokens per second (%): 21.95 | MFU (%): 42.41 | TFLOPs: 419.40
2025-05-22 16:04:03,800 - root - INFO - Step: 140 | Loss: 7.30 | Tokens per second: 8208.03 | Training tokens per second (%): 11.89 | MFU (%): 42.78 | TFLOPs: 423.05
2025-05-22 16:04:03,807 - root - INFO - Step: 140 | Loss: 7.30 | Tokens per second: 8217.84 | Training tokens per second (%): 11.89 | MFU (%): 42.83 | TFLOPs: 423.56
2025-05-22 16:04:03,807 - root - INFO - Step: 140 | Loss: 7.30 | Tokens per second: 8208.89 | Training tokens per second (%): 11.89 | MFU (%): 42.78 | TFLOPs: 423.10
2025-05-22 16:04:03,809 - root - INFO - Step: 140 | Loss: 7.30 | Tokens per second: 8212.47 | Training tokens per second (%): 11.89 | MFU (%): 42.80 | TFLOPs: 423.28
2025-05-22 16:04:06,305 - root - INFO - Step: 145 | Loss: 7.47 | Tokens per second: 8177.87 | Training tokens per second (%): 26.10 | MFU (%): 42.62 | TFLOPs: 421.50
2025-05-22 16:04:06,314 - root - INFO - Step: 145 | Loss: 7.47 | Tokens per second: 8177.03 | Training tokens per second (%): 26.10 | MFU (%): 42.61 | TFLOPs: 421.45
2025-05-22 16:04:06,314 - root - INFO - Step: 145 | Loss: 7.47 | Tokens per second: 8172.85 | Training tokens per second (%): 26.10 | MFU (%): 42.59 | TFLOPs: 421.24
2025-05-22 16:04:06,316 - root - INFO - Step: 145 | Loss: 7.47 | Tokens per second: 8166.71 | Training tokens per second (%): 26.10 | MFU (%): 42.56 | TFLOPs: 420.92
2025-05-22 16:04:08,819 - root - INFO - Step: 150 | Loss: 7.76 | Tokens per second: 8151.58 | Training tokens per second (%): 19.74 | MFU (%): 42.48 | TFLOPs: 420.14
2025-05-22 16:04:08,827 - root - INFO - Step: 150 | Loss: 7.76 | Tokens per second: 8154.25 | Training tokens per second (%): 19.74 | MFU (%): 42.50 | TFLOPs: 420.28
2025-05-22 16:04:08,827 - root - INFO - Step: 150 | Loss: 7.76 | Tokens per second: 8152.96 | Training tokens per second (%): 19.74 | MFU (%): 42.49 | TFLOPs: 420.21
2025-05-22 16:04:08,827 - root - INFO - Step: 150 | Loss: 7.76 | Tokens per second: 8155.61 | Training tokens per second (%): 19.74 | MFU (%): 42.50 | TFLOPs: 420.35
